date,region,earnings
01/01/2020,Alberta,1159.89
01/01/2019,Alberta,1163.69
01/01/2018,Alberta,1160.77
01/01/2017,Alberta,1159.6
01/01/2016,Alberta,1158.79
01/01/2015,Alberta,1176.32
01/01/2014,Alberta,1173.23
01/01/2013,Alberta,1150.61
01/01/2020,BritishColumbia,896.29
01/01/2019,BritishColumbia,901.86
01/01/2018,BritishColumbia,902.69
01/01/2017,BritishColumbia,904.11
01/01/2016,BritishColumbia,911.57
01/01/2015,BritishColumbia,919.2
01/01/2014,BritishColumbia,911.73
01/01/2013,BritishColumbia,899.15
01/01/2020,Canada,934.74
01/01/2019,Canada,940.68
01/01/2018,Canada,937.83
01/01/2017,Canada,948.4
01/01/2016,Canada,944.98
01/01/2015,Canada,957.8
01/01/2014,Canada,956.5
01/01/2013,Canada,954.7
01/01/2020,Manitoba,869.33
01/01/2019,Manitoba,872.41
01/01/2018,Manitoba,862.07
01/01/2017,Manitoba,886.94
01/01/2016,Manitoba,875.17
01/01/2015,Manitoba,873.35
01/01/2014,Manitoba,865.29
01/01/2013,Manitoba,864.69
01/01/2020,NewBrunswick,836.43
01/01/2019,NewBrunswick,838.49
01/01/2018,NewBrunswick,838.71
01/01/2017,NewBrunswick,856.35
01/01/2016,NewBrunswick,842.03
01/01/2015,NewBrunswick,854.39
01/01/2014,NewBrunswick,848.22
01/01/2013,NewBrunswick,864.81
01/01/2020,NewfoundlandAndLabrador,997.27
01/01/2019,NewfoundlandAndLabrador,1001.57
01/01/2018,NewfoundlandAndLabrador,1007.37
01/01/2017,NewfoundlandAndLabrador,1006.98
01/01/2016,NewfoundlandAndLabrador,1007.2
01/01/2015,NewfoundlandAndLabrador,1015.85
01/01/2014,NewfoundlandAndLabrador,1022.75
01/01/2013,NewfoundlandAndLabrador,1019.61
01/01/2020,NovaScotia,811.21
01/01/2019,NovaScotia,820.12
01/01/2018,NovaScotia,816.48
01/01/2017,NovaScotia,836.76
01/01/2016,NovaScotia,830.52
01/01/2015,NovaScotia,829.09
01/01/2014,NovaScotia,823.01
01/01/2013,NovaScotia,835.31
01/01/2020,Ontario,935.3
01/01/2019,Ontario,936.71
01/01/2018,Ontario,938.67
01/01/2017,Ontario,950.38
01/01/2016,Ontario,951.1
01/01/2015,Ontario,969.17
01/01/2014,Ontario,968.75
01/01/2013,Ontario,964.8
01/01/2020,PrinceEdwardIsland,757.86
01/01/2019,PrinceEdwardIsland,774.24
01/01/2018,PrinceEdwardIsland,782.53
01/01/2017,PrinceEdwardIsland,803.66
01/01/2016,PrinceEdwardIsland,794.39
01/01/2015,PrinceEdwardIsland,792.26
01/01/2014,PrinceEdwardIsland,800.1
01/01/2013,PrinceEdwardIsland,809.92
01/01/2020,Quebec,842.92
01/01/2019,Quebec,858.82
01/01/2018,Quebec,844.51
01/01/2017,Quebec,862.12
01/01/2016,Quebec,846.73
01/01/2015,Quebec,857.53
01/01/2014,Quebec,861.1
01/01/2013,Quebec,881.27
01/01/2020,Saskatchewan,979.19
01/01/2019,Saskatchewan,984.95
01/01/2018,Saskatchewan,992.31
01/01/2017,Saskatchewan,991.3
01/01/2016,Saskatchewan,982.6
01/01/2015,Saskatchewan,991.21
01/01/2014,Saskatchewan,988.79
01/01/2013,Saskatchewan,977.35
